symbol,name,sector,industry
2736,フェスタリアホールディングス,Consumer Cyclical,小売業
2737,トーメンデバイス,Industrials,卸売業
2742,ハローズ,Consumer Cyclical,小売業
2743,ピクセルカンパニーズ,Industrials,卸売業
2747,北雄ラッキー,Consumer Cyclical,小売業
2749,ＪＰホールディングス,Industrials,サービス業
2750,石光商事,Industrials,卸売業
2751,テンポスホールディングス,Industrials,卸売業
2752,フジオフードグループ本社,Consumer Cyclical,小売業
2753,あみやき亭,Consumer Cyclical,小売業
2754,東葛ホールディングス,Consumer Cyclical,小売業
2760,東京エレクトロン　デバイス,Industrials,卸売業
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,Consumer Cyclical,小売業
2763,エフティグループ,Industrials,卸売業
2764,ひらまつ,Consumer Cyclical,小売業
2767,円谷フィールズホールディングス,Industrials,卸売業
2768,双日,Industrials,卸売業
2769,ヴィレッジヴァンガードコーポレーション,Consumer Cyclical,小売業
2776,新都ホールディングス,Industrials,卸売業
2778,パレモ・ホールディングス,Consumer Cyclical,小売業
2780,コメ兵ホールディングス,Consumer Cyclical,小売業
2782,セリア,Consumer Cyclical,小売業
2784,アルフレッサ　ホールディングス,Industrials,卸売業
2788,アップルインターナショナル,Industrials,卸売業
2789,カルラ,Consumer Cyclical,小売業
2790,ナフコ,Consumer Cyclical,小売業
2791,大黒天物産,Consumer Cyclical,小売業
2792,ハニーズホールディングス,Consumer Cyclical,小売業
2795,日本プリメックス,Industrials,卸売業
2796,ファーマライズホールディングス,Consumer Cyclical,小売業
2798,ワイズテーブルコーポレーション,Consumer Cyclical,小売業
2801,キッコーマン,Consumer Defensive,食料品
2802,味の素,Consumer Defensive,食料品
2804,ブルドックソース,Consumer Defensive,食料品
2805,ヱスビー食品,Consumer Defensive,食料品
2806,ユタカフーズ,Consumer Defensive,食料品
2809,キユーピー,Consumer Defensive,食料品
2810,ハウス食品グループ本社,Consumer Defensive,食料品
2811,カゴメ,Consumer Defensive,食料品
2813,和弘食品,Consumer Defensive,食料品
2814,佐藤食品工業,Consumer Defensive,食料品
2815,アリアケジャパン,Consumer Defensive,食料品
2816,ダイショー,Consumer Defensive,食料品
2818,ピエトロ,Consumer Defensive,食料品
2819,エバラ食品工業,Consumer Defensive,食料品
2820,やまみ,Consumer Defensive,食料品
2830,アヲハタ,Consumer Defensive,食料品
2831,はごろもフーズ,Consumer Defensive,食料品
2871,ニチレイ,Consumer Defensive,食料品
2872,セイヒョー,Consumer Defensive,食料品
2874,横浜冷凍,Industrials,卸売業
2875,東洋水産,Consumer Defensive,食料品
2876,デルソーレ,Consumer Defensive,食料品
2877,日東ベスト,Consumer Defensive,食料品
2882,イートアンドホールディングス,Consumer Defensive,食料品
2883,大冷,Consumer Defensive,食料品
2884,ヨシムラ・フード・ホールディングス,Consumer Defensive,食料品
2892,日本食品化工,Consumer Defensive,食料品
2894,石井食品,Consumer Defensive,食料品
2897,日清食品ホールディングス,Consumer Defensive,食料品
2899,永谷園ホールディングス,Consumer Defensive,食料品
