symbol,name,sector,industry,lending
8362,福井銀行,Financials,銀行業,貸借
8363,北國銀行,Financials,銀行業,貸借
8364,清水銀行,Financials,銀行業,貸借
8366,滋賀銀行,Financials,銀行業,貸借
8367,南都銀行,Financials,銀行業,貸借
8368,百五銀行,Financials,銀行業,貸借
8369,京都銀行,Financials,銀行業,貸借
8374,三重銀行,Financials,銀行業,貸借
8377,ほくほくフィナンシャルグループ,Financials,銀行業,貸借
8379,広島銀行,Financials,銀行業,貸借
8381,山陰合同銀行,Financials,銀行業,貸借
8382,中国銀行,Financials,銀行業,貸借
8383,鳥取銀行,Financials,銀行業,貸借
8385,伊予銀行,Financials,銀行業,貸借
8386,百十四銀行,Financials,銀行業,貸借
8387,四国銀行,Financials,銀行業,貸借
8388,阿波銀行,Financials,銀行業,貸借
8390,鹿児島銀行,Financials,銀行業,貸借
8392,大分銀行,Financials,銀行業,貸借
8393,宮崎銀行,Financials,銀行業,貸借
8394,肥後銀行,Financials,銀行業,貸借
8395,佐賀銀行,Financials,銀行業,貸借
8396,十八銀行,Financials,銀行業,貸借
8397,沖縄銀行,Financials,銀行業,貸借
8399,琉球銀行,Financials,銀行業,貸借
8409,八千代銀行,Financials,銀行業,貸借
8410,セブン銀行,Financials,銀行業,貸借
8411,みずほフィナンシャルグループ,Financials,銀行業,貸借
8415,紀陽ホールディングス,Financials,銀行業,貸借
8416,高知銀行,Financials,銀行業,信用
8418,山口フィナンシャルグループ,Financials,銀行業,貸借
8423,アクリーティブ,Financials,その他金融業,貸借
8424,芙蓉総合リース,Financials,その他金融業,貸借
8425,興銀リース,Financials,その他金融業,貸借
8426,ニッシン債権回収,Financials,その他金融業,貸借
8439,東京センチュリーリース,Financials,その他金融業,貸借
8473,ＳＢＩホールディングス,Financials,証券･商品先物取引業,貸借
8511,日本証券金融,Financials,その他金融業,貸借
8512,大阪証券金融,Financials,その他金融業,貸借
8515,アイフル,Financials,その他金融業,貸借
8518,日本アジア投資,Financials,証券･商品先物取引業,信用
8519,ポケットカード,Financials,その他金融業,貸借
8520,きらやか銀行,Financials,銀行業,貸借
8521,長野銀行,Financials,銀行業,貸借
8522,名古屋銀行,Financials,銀行業,貸借
8527,愛知銀行,Financials,銀行業,貸借
8529,第三銀行,Financials,銀行業,貸借
8530,中京銀行,Financials,銀行業,貸借
8536,東日本銀行,Financials,銀行業,貸借
8537,大光銀行,Financials,銀行業,貸借
8541,愛媛銀行,Financials,銀行業,貸借
8542,トマト銀行,Financials,銀行業,貸借
8543,みなと銀行,Financials,銀行業,貸借
8544,京葉銀行,Financials,銀行業,貸借
8545,関西アーバン銀行,Financials,銀行業,貸借
8550,栃木銀行,Financials,銀行業,貸借
8551,北日本銀行,Financials,銀行業,貸借
8558,東和銀行,Financials,銀行業,貸借
8562,福島銀行,Financials,銀行業,貸借
